Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__median.params
[median - label_flipping_attack] Iteration 999. Test_acc 0.7724
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__median__iter_001000.params
[median - label_flipping_attack] Iteration 1009. Test_acc 0.7475
[median - label_flipping_attack] Iteration 1019. Test_acc 0.8176
[median - label_flipping_attack] Iteration 1029. Test_acc 0.7866
[median - label_flipping_attack] Iteration 1039. Test_acc 0.7772
[median - label_flipping_attack] Iteration 1049. Test_acc 0.7971
[median - label_flipping_attack] Iteration 1059. Test_acc 0.6908
[median - label_flipping_attack] Iteration 1069. Test_acc 0.7642
[median - label_flipping_attack] Iteration 1079. Test_acc 0.8200
[median - label_flipping_attack] Iteration 1089. Test_acc 0.6979
[median - label_flipping_attack] Iteration 1099. Test_acc 0.7874
[median - label_flipping_attack] Iteration 1109. Test_acc 0.8054
[median - label_flipping_attack] Iteration 1119. Test_acc 0.7754
[median - label_flipping_attack] Iteration 1129. Test_acc 0.8122
[median - label_flipping_attack] Iteration 1139. Test_acc 0.8287
[median - label_flipping_attack] Iteration 1149. Test_acc 0.7971
[median - label_flipping_attack] Iteration 1159. Test_acc 0.7487
[median - label_flipping_attack] Iteration 1169. Test_acc 0.7572
[median - label_flipping_attack] Iteration 1179. Test_acc 0.8049
[median - label_flipping_attack] Iteration 1189. Test_acc 0.7656
[median - label_flipping_attack] Iteration 1199. Test_acc 0.7529
[median - label_flipping_attack] Iteration 1209. Test_acc 0.7860
[median - label_flipping_attack] Iteration 1219. Test_acc 0.8017
[median - label_flipping_attack] Iteration 1229. Test_acc 0.7922
[median - label_flipping_attack] Iteration 1239. Test_acc 0.7832
[median - label_flipping_attack] Iteration 1249. Test_acc 0.8161
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__median__iter_001250.params
[median - label_flipping_attack] Iteration 1259. Test_acc 0.8168
[median - label_flipping_attack] Iteration 1269. Test_acc 0.7988
[median - label_flipping_attack] Iteration 1279. Test_acc 0.8303
[median - label_flipping_attack] Iteration 1289. Test_acc 0.8326
[median - label_flipping_attack] Iteration 1299. Test_acc 0.8278
[median - label_flipping_attack] Iteration 1309. Test_acc 0.8355
[median - label_flipping_attack] Iteration 1319. Test_acc 0.8264
[median - label_flipping_attack] Iteration 1329. Test_acc 0.7810
[median - label_flipping_attack] Iteration 1339. Test_acc 0.8339
[median - label_flipping_attack] Iteration 1349. Test_acc 0.8245
[median - label_flipping_attack] Iteration 1359. Test_acc 0.8077
[median - label_flipping_attack] Iteration 1369. Test_acc 0.7434
[median - label_flipping_attack] Iteration 1379. Test_acc 0.7251
[median - label_flipping_attack] Iteration 1389. Test_acc 0.8303
[median - label_flipping_attack] Iteration 1399. Test_acc 0.8277
[median - label_flipping_attack] Iteration 1409. Test_acc 0.8079
[median - label_flipping_attack] Iteration 1419. Test_acc 0.7309
[median - label_flipping_attack] Iteration 1429. Test_acc 0.8187
[median - label_flipping_attack] Iteration 1439. Test_acc 0.7784
[median - label_flipping_attack] Iteration 1449. Test_acc 0.8139
[median - label_flipping_attack] Iteration 1459. Test_acc 0.7844
[median - label_flipping_attack] Iteration 1469. Test_acc 0.8145
[median - label_flipping_attack] Iteration 1479. Test_acc 0.7930
[median - label_flipping_attack] Iteration 1489. Test_acc 0.6926
[median - label_flipping_attack] Iteration 1499. Test_acc 0.7716
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__median__iter_001500.params
[median - label_flipping_attack] Iteration 1509. Test_acc 0.7281
[median - label_flipping_attack] Iteration 1519. Test_acc 0.7728
[median - label_flipping_attack] Iteration 1529. Test_acc 0.7561
[median - label_flipping_attack] Iteration 1539. Test_acc 0.7743
[median - label_flipping_attack] Iteration 1549. Test_acc 0.8152
[median - label_flipping_attack] Iteration 1559. Test_acc 0.7934
[median - label_flipping_attack] Iteration 1569. Test_acc 0.8096
[median - label_flipping_attack] Iteration 1579. Test_acc 0.7233
[median - label_flipping_attack] Iteration 1589. Test_acc 0.7565
[median - label_flipping_attack] Iteration 1599. Test_acc 0.6545
