Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__trimmed_mean.params
[trimmed_mean - label_flipping_attack] Iteration 829. Test_acc 0.7303
[trimmed_mean - label_flipping_attack] Iteration 839. Test_acc 0.7981
[trimmed_mean - label_flipping_attack] Iteration 849. Test_acc 0.7916
[trimmed_mean - label_flipping_attack] Iteration 859. Test_acc 0.7918
[trimmed_mean - label_flipping_attack] Iteration 869. Test_acc 0.7873
[trimmed_mean - label_flipping_attack] Iteration 879. Test_acc 0.7353
[trimmed_mean - label_flipping_attack] Iteration 889. Test_acc 0.8011
[trimmed_mean - label_flipping_attack] Iteration 899. Test_acc 0.7843
[trimmed_mean - label_flipping_attack] Iteration 909. Test_acc 0.8092
[trimmed_mean - label_flipping_attack] Iteration 919. Test_acc 0.7987
[trimmed_mean - label_flipping_attack] Iteration 929. Test_acc 0.7146
[trimmed_mean - label_flipping_attack] Iteration 939. Test_acc 0.7915
[trimmed_mean - label_flipping_attack] Iteration 949. Test_acc 0.8228
[trimmed_mean - label_flipping_attack] Iteration 959. Test_acc 0.7088
[trimmed_mean - label_flipping_attack] Iteration 969. Test_acc 0.7914
[trimmed_mean - label_flipping_attack] Iteration 979. Test_acc 0.8160
[trimmed_mean - label_flipping_attack] Iteration 989. Test_acc 0.8193
[trimmed_mean - label_flipping_attack] Iteration 999. Test_acc 0.7553
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__trimmed_mean__iter_001000.params
[trimmed_mean - label_flipping_attack] Iteration 1009. Test_acc 0.7955
[trimmed_mean - label_flipping_attack] Iteration 1019. Test_acc 0.7878
[trimmed_mean - label_flipping_attack] Iteration 1029. Test_acc 0.8022
[trimmed_mean - label_flipping_attack] Iteration 1039. Test_acc 0.8212
[trimmed_mean - label_flipping_attack] Iteration 1049. Test_acc 0.8058
[trimmed_mean - label_flipping_attack] Iteration 1059. Test_acc 0.7685
[trimmed_mean - label_flipping_attack] Iteration 1069. Test_acc 0.8240
[trimmed_mean - label_flipping_attack] Iteration 1079. Test_acc 0.8118
[trimmed_mean - label_flipping_attack] Iteration 1089. Test_acc 0.7600
[trimmed_mean - label_flipping_attack] Iteration 1099. Test_acc 0.7917
[trimmed_mean - label_flipping_attack] Iteration 1109. Test_acc 0.8398
[trimmed_mean - label_flipping_attack] Iteration 1119. Test_acc 0.7999
[trimmed_mean - label_flipping_attack] Iteration 1129. Test_acc 0.7636
[trimmed_mean - label_flipping_attack] Iteration 1139. Test_acc 0.8263
[trimmed_mean - label_flipping_attack] Iteration 1149. Test_acc 0.8363
[trimmed_mean - label_flipping_attack] Iteration 1159. Test_acc 0.7598
[trimmed_mean - label_flipping_attack] Iteration 1169. Test_acc 0.8250
[trimmed_mean - label_flipping_attack] Iteration 1179. Test_acc 0.8239
[trimmed_mean - label_flipping_attack] Iteration 1189. Test_acc 0.7712
[trimmed_mean - label_flipping_attack] Iteration 1199. Test_acc 0.8219
[trimmed_mean - label_flipping_attack] Iteration 1209. Test_acc 0.7572
[trimmed_mean - label_flipping_attack] Iteration 1219. Test_acc 0.7232
[trimmed_mean - label_flipping_attack] Iteration 1229. Test_acc 0.7043
[trimmed_mean - label_flipping_attack] Iteration 1239. Test_acc 0.8200
[trimmed_mean - label_flipping_attack] Iteration 1249. Test_acc 0.8015
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__trimmed_mean__iter_001250.params
[trimmed_mean - label_flipping_attack] Iteration 1259. Test_acc 0.7929
[trimmed_mean - label_flipping_attack] Iteration 1269. Test_acc 0.7985
[trimmed_mean - label_flipping_attack] Iteration 1279. Test_acc 0.7985
[trimmed_mean - label_flipping_attack] Iteration 1289. Test_acc 0.8364
[trimmed_mean - label_flipping_attack] Iteration 1299. Test_acc 0.7267
[trimmed_mean - label_flipping_attack] Iteration 1309. Test_acc 0.8219
[trimmed_mean - label_flipping_attack] Iteration 1319. Test_acc 0.7942
[trimmed_mean - label_flipping_attack] Iteration 1329. Test_acc 0.8017
[trimmed_mean - label_flipping_attack] Iteration 1339. Test_acc 0.7772
