Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__trim_attack__fltrust.params
[fltrust - trim_attack] Iteration 999. Test_acc 0.8611
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__trim_attack__fltrust__iter_001000.params
[fltrust - trim_attack] Iteration 1009. Test_acc 0.8629
[fltrust - trim_attack] Iteration 1019. Test_acc 0.8537
[fltrust - trim_attack] Iteration 1029. Test_acc 0.8661
[fltrust - trim_attack] Iteration 1039. Test_acc 0.8627
[fltrust - trim_attack] Iteration 1049. Test_acc 0.8658
[fltrust - trim_attack] Iteration 1059. Test_acc 0.8643
[fltrust - trim_attack] Iteration 1069. Test_acc 0.8697
[fltrust - trim_attack] Iteration 1079. Test_acc 0.8617
[fltrust - trim_attack] Iteration 1089. Test_acc 0.8653
[fltrust - trim_attack] Iteration 1099. Test_acc 0.8686
[fltrust - trim_attack] Iteration 1109. Test_acc 0.8672
[fltrust - trim_attack] Iteration 1119. Test_acc 0.8693
[fltrust - trim_attack] Iteration 1129. Test_acc 0.8656
[fltrust - trim_attack] Iteration 1139. Test_acc 0.8646
[fltrust - trim_attack] Iteration 1149. Test_acc 0.8691
[fltrust - trim_attack] Iteration 1159. Test_acc 0.8713
[fltrust - trim_attack] Iteration 1169. Test_acc 0.8586
[fltrust - trim_attack] Iteration 1179. Test_acc 0.8678
[fltrust - trim_attack] Iteration 1189. Test_acc 0.8720
[fltrust - trim_attack] Iteration 1199. Test_acc 0.8706
[fltrust - trim_attack] Iteration 1209. Test_acc 0.8557
[fltrust - trim_attack] Iteration 1219. Test_acc 0.8722
[fltrust - trim_attack] Iteration 1229. Test_acc 0.8710
[fltrust - trim_attack] Iteration 1239. Test_acc 0.8667
[fltrust - trim_attack] Iteration 1249. Test_acc 0.8630
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__trim_attack__fltrust__iter_001250.params
[fltrust - trim_attack] Iteration 1259. Test_acc 0.8667
[fltrust - trim_attack] Iteration 1269. Test_acc 0.8716
[fltrust - trim_attack] Iteration 1279. Test_acc 0.8651
[fltrust - trim_attack] Iteration 1289. Test_acc 0.8790
[fltrust - trim_attack] Iteration 1299. Test_acc 0.8688
[fltrust - trim_attack] Iteration 1309. Test_acc 0.8680
[fltrust - trim_attack] Iteration 1319. Test_acc 0.8722
[fltrust - trim_attack] Iteration 1329. Test_acc 0.8574
[fltrust - trim_attack] Iteration 1339. Test_acc 0.8750
[fltrust - trim_attack] Iteration 1349. Test_acc 0.8772
[fltrust - trim_attack] Iteration 1359. Test_acc 0.8758
[fltrust - trim_attack] Iteration 1369. Test_acc 0.8768
[fltrust - trim_attack] Iteration 1379. Test_acc 0.8337
[fltrust - trim_attack] Iteration 1389. Test_acc 0.8342
[fltrust - trim_attack] Iteration 1399. Test_acc 0.8424
[fltrust - trim_attack] Iteration 1409. Test_acc 0.8515
[fltrust - trim_attack] Iteration 1419. Test_acc 0.8593
[fltrust - trim_attack] Iteration 1429. Test_acc 0.8640
[fltrust - trim_attack] Iteration 1439. Test_acc 0.8659
[fltrust - trim_attack] Iteration 1449. Test_acc 0.8701
[fltrust - trim_attack] Iteration 1459. Test_acc 0.8689
[fltrust - trim_attack] Iteration 1469. Test_acc 0.8626
[fltrust - trim_attack] Iteration 1479. Test_acc 0.8713
[fltrust - trim_attack] Iteration 1489. Test_acc 0.8700
[fltrust - trim_attack] Iteration 1499. Test_acc 0.8711
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__trim_attack__fltrust__iter_001500.params
[fltrust - trim_attack] Iteration 1509. Test_acc 0.8668
[fltrust - trim_attack] Iteration 1519. Test_acc 0.8714
[fltrust - trim_attack] Iteration 1529. Test_acc 0.8751
[fltrust - trim_attack] Iteration 1539. Test_acc 0.8694
[fltrust - trim_attack] Iteration 1549. Test_acc 0.8777
[fltrust - trim_attack] Iteration 1559. Test_acc 0.8704
[fltrust - trim_attack] Iteration 1569. Test_acc 0.8690
[fltrust - trim_attack] Iteration 1579. Test_acc 0.8726
[fltrust - trim_attack] Iteration 1589. Test_acc 0.8781
[fltrust - trim_attack] Iteration 1599. Test_acc 0.8778
[fltrust - trim_attack] Iteration 1609. Test_acc 0.8727
[fltrust - trim_attack] Iteration 1619. Test_acc 0.8787
[fltrust - trim_attack] Iteration 1629. Test_acc 0.8805
