Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__krum.params
Resume status: start_iter=750, niter=2500, remaining_iterations=1750
[krum - label_flipping_attack] Iteration 759. Test_acc 0.7914
[krum - label_flipping_attack] Iteration 769. Test_acc 0.8006
[krum - label_flipping_attack] Iteration 779. Test_acc 0.7918
[krum - label_flipping_attack] Iteration 789. Test_acc 0.7808
[krum - label_flipping_attack] Iteration 799. Test_acc 0.7967
[krum - label_flipping_attack] Iteration 809. Test_acc 0.7957
[krum - label_flipping_attack] Iteration 819. Test_acc 0.8091
[krum - label_flipping_attack] Iteration 829. Test_acc 0.7953
[krum - label_flipping_attack] Iteration 839. Test_acc 0.8015
[krum - label_flipping_attack] Iteration 849. Test_acc 0.8067
[krum - label_flipping_attack] Iteration 859. Test_acc 0.8013
[krum - label_flipping_attack] Iteration 869. Test_acc 0.8003
[krum - label_flipping_attack] Iteration 879. Test_acc 0.8003
[krum - label_flipping_attack] Iteration 889. Test_acc 0.8085
[krum - label_flipping_attack] Iteration 899. Test_acc 0.8005
[krum - label_flipping_attack] Iteration 909. Test_acc 0.7738
[krum - label_flipping_attack] Iteration 919. Test_acc 0.7919
[krum - label_flipping_attack] Iteration 929. Test_acc 0.8107
[krum - label_flipping_attack] Iteration 939. Test_acc 0.7984
[krum - label_flipping_attack] Iteration 949. Test_acc 0.7953
[krum - label_flipping_attack] Iteration 959. Test_acc 0.8054
[krum - label_flipping_attack] Iteration 969. Test_acc 0.7983
[krum - label_flipping_attack] Iteration 979. Test_acc 0.8105
[krum - label_flipping_attack] Iteration 989. Test_acc 0.8001
[krum - label_flipping_attack] Iteration 999. Test_acc 0.7952
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__krum__iter_001000.params
[krum - label_flipping_attack] Iteration 1009. Test_acc 0.8106
[krum - label_flipping_attack] Iteration 1019. Test_acc 0.8004
[krum - label_flipping_attack] Iteration 1029. Test_acc 0.8129
[krum - label_flipping_attack] Iteration 1039. Test_acc 0.8093
[krum - label_flipping_attack] Iteration 1049. Test_acc 0.8084
[krum - label_flipping_attack] Iteration 1059. Test_acc 0.8064
[krum - label_flipping_attack] Iteration 1069. Test_acc 0.8075
[krum - label_flipping_attack] Iteration 1079. Test_acc 0.8157
[krum - label_flipping_attack] Iteration 1089. Test_acc 0.8087
[krum - label_flipping_attack] Iteration 1099. Test_acc 0.8144
[krum - label_flipping_attack] Iteration 1109. Test_acc 0.8048
[krum - label_flipping_attack] Iteration 1119. Test_acc 0.7990
[krum - label_flipping_attack] Iteration 1129. Test_acc 0.7960
[krum - label_flipping_attack] Iteration 1139. Test_acc 0.8170
[krum - label_flipping_attack] Iteration 1149. Test_acc 0.8095
[krum - label_flipping_attack] Iteration 1159. Test_acc 0.8076
[krum - label_flipping_attack] Iteration 1169. Test_acc 0.7816
[krum - label_flipping_attack] Iteration 1179. Test_acc 0.7923
[krum - label_flipping_attack] Iteration 1189. Test_acc 0.8029
[krum - label_flipping_attack] Iteration 1199. Test_acc 0.8145
[krum - label_flipping_attack] Iteration 1209. Test_acc 0.8118
[krum - label_flipping_attack] Iteration 1219. Test_acc 0.8000
[krum - label_flipping_attack] Iteration 1229. Test_acc 0.8169
[krum - label_flipping_attack] Iteration 1239. Test_acc 0.8184
[krum - label_flipping_attack] Iteration 1249. Test_acc 0.8135
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__krum__iter_001250.params
[krum - label_flipping_attack] Iteration 1259. Test_acc 0.7866
[krum - label_flipping_attack] Iteration 1269. Test_acc 0.8187
[krum - label_flipping_attack] Iteration 1279. Test_acc 0.8219
[krum - label_flipping_attack] Iteration 1289. Test_acc 0.8143
[krum - label_flipping_attack] Iteration 1299. Test_acc 0.8183
[krum - label_flipping_attack] Iteration 1309. Test_acc 0.8183
[krum - label_flipping_attack] Iteration 1319. Test_acc 0.8049
[krum - label_flipping_attack] Iteration 1329. Test_acc 0.8220
[krum - label_flipping_attack] Iteration 1339. Test_acc 0.8247
[krum - label_flipping_attack] Iteration 1349. Test_acc 0.8234
[krum - label_flipping_attack] Iteration 1359. Test_acc 0.8220
[krum - label_flipping_attack] Iteration 1369. Test_acc 0.8180
[krum - label_flipping_attack] Iteration 1379. Test_acc 0.7938
[krum - label_flipping_attack] Iteration 1389. Test_acc 0.8252
[krum - label_flipping_attack] Iteration 1399. Test_acc 0.8226
[krum - label_flipping_attack] Iteration 1409. Test_acc 0.8216
[krum - label_flipping_attack] Iteration 1419. Test_acc 0.8159
[krum - label_flipping_attack] Iteration 1429. Test_acc 0.8240
[krum - label_flipping_attack] Iteration 1439. Test_acc 0.8246
[krum - label_flipping_attack] Iteration 1449. Test_acc 0.8141
[krum - label_flipping_attack] Iteration 1459. Test_acc 0.8249
[krum - label_flipping_attack] Iteration 1469. Test_acc 0.8218
[krum - label_flipping_attack] Iteration 1479. Test_acc 0.8090
[krum - label_flipping_attack] Iteration 1489. Test_acc 0.8108
[krum - label_flipping_attack] Iteration 1499. Test_acc 0.8312
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__krum__iter_001500.params
[krum - label_flipping_attack] Iteration 1509. Test_acc 0.8249
[krum - label_flipping_attack] Iteration 1519. Test_acc 0.8197
[krum - label_flipping_attack] Iteration 1529. Test_acc 0.8198
[krum - label_flipping_attack] Iteration 1539. Test_acc 0.8254
[krum - label_flipping_attack] Iteration 1549. Test_acc 0.7989
[krum - label_flipping_attack] Iteration 1559. Test_acc 0.8211
[krum - label_flipping_attack] Iteration 1569. Test_acc 0.7933
[krum - label_flipping_attack] Iteration 1579. Test_acc 0.8213
[krum - label_flipping_attack] Iteration 1589. Test_acc 0.7617
[krum - label_flipping_attack] Iteration 1599. Test_acc 0.8286
[krum - label_flipping_attack] Iteration 1609. Test_acc 0.8119
[krum - label_flipping_attack] Iteration 1619. Test_acc 0.8333
[krum - label_flipping_attack] Iteration 1629. Test_acc 0.8313
[krum - label_flipping_attack] Iteration 1639. Test_acc 0.8177
[krum - label_flipping_attack] Iteration 1649. Test_acc 0.8306
[krum - label_flipping_attack] Iteration 1659. Test_acc 0.8271
[krum - label_flipping_attack] Iteration 1669. Test_acc 0.8268
[krum - label_flipping_attack] Iteration 1679. Test_acc 0.8268
[krum - label_flipping_attack] Iteration 1689. Test_acc 0.8111
[krum - label_flipping_attack] Iteration 1699. Test_acc 0.8119
[krum - label_flipping_attack] Iteration 1709. Test_acc 0.8292
[krum - label_flipping_attack] Iteration 1719. Test_acc 0.8135
[krum - label_flipping_attack] Iteration 1729. Test_acc 0.8314
[krum - label_flipping_attack] Iteration 1739. Test_acc 0.8171
[krum - label_flipping_attack] Iteration 1749. Test_acc 0.8272
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__krum__iter_001750.params
[krum - label_flipping_attack] Iteration 1759. Test_acc 0.8102
[krum - label_flipping_attack] Iteration 1769. Test_acc 0.8267
[krum - label_flipping_attack] Iteration 1779. Test_acc 0.8308
[krum - label_flipping_attack] Iteration 1789. Test_acc 0.8277
[krum - label_flipping_attack] Iteration 1799. Test_acc 0.8313
[krum - label_flipping_attack] Iteration 1809. Test_acc 0.8183
[krum - label_flipping_attack] Iteration 1819. Test_acc 0.8211
[krum - label_flipping_attack] Iteration 1829. Test_acc 0.8242
[krum - label_flipping_attack] Iteration 1839. Test_acc 0.8256
[krum - label_flipping_attack] Iteration 1849. Test_acc 0.8282
[krum - label_flipping_attack] Iteration 1859. Test_acc 0.8251
