Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__no__median.params
[median - no] Iteration 1269. Test_acc 0.7658
[median - no] Iteration 1279. Test_acc 0.7894
[median - no] Iteration 1289. Test_acc 0.8243
[median - no] Iteration 1299. Test_acc 0.7652
[median - no] Iteration 1309. Test_acc 0.7723
[median - no] Iteration 1319. Test_acc 0.8039
[median - no] Iteration 1329. Test_acc 0.8313
[median - no] Iteration 1339. Test_acc 0.7954
[median - no] Iteration 1349. Test_acc 0.8214
[median - no] Iteration 1359. Test_acc 0.7993
[median - no] Iteration 1369. Test_acc 0.8156
[median - no] Iteration 1379. Test_acc 0.8321
[median - no] Iteration 1389. Test_acc 0.8137
[median - no] Iteration 1399. Test_acc 0.8006
[median - no] Iteration 1409. Test_acc 0.8003
[median - no] Iteration 1419. Test_acc 0.8361
[median - no] Iteration 1429. Test_acc 0.8221
[median - no] Iteration 1439. Test_acc 0.8090
[median - no] Iteration 1449. Test_acc 0.8333
[median - no] Iteration 1459. Test_acc 0.7600
[median - no] Iteration 1469. Test_acc 0.8036
[median - no] Iteration 1479. Test_acc 0.7948
[median - no] Iteration 1489. Test_acc 0.8267
[median - no] Iteration 1499. Test_acc 0.8117
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__median__iter_001500.params
[median - no] Iteration 1509. Test_acc 0.7821
[median - no] Iteration 1519. Test_acc 0.8288
[median - no] Iteration 1529. Test_acc 0.8194
[median - no] Iteration 1539. Test_acc 0.8122
[median - no] Iteration 1549. Test_acc 0.8152
[median - no] Iteration 1559. Test_acc 0.7711
[median - no] Iteration 1569. Test_acc 0.8130
[median - no] Iteration 1579. Test_acc 0.8231
[median - no] Iteration 1589. Test_acc 0.8022
[median - no] Iteration 1599. Test_acc 0.8356
[median - no] Iteration 1609. Test_acc 0.8220
[median - no] Iteration 1619. Test_acc 0.7921
[median - no] Iteration 1629. Test_acc 0.6938
[median - no] Iteration 1639. Test_acc 0.8216
[median - no] Iteration 1649. Test_acc 0.8146
[median - no] Iteration 1659. Test_acc 0.8352
[median - no] Iteration 1669. Test_acc 0.8430
[median - no] Iteration 1679. Test_acc 0.8468
[median - no] Iteration 1689. Test_acc 0.8435
[median - no] Iteration 1699. Test_acc 0.8103
[median - no] Iteration 1709. Test_acc 0.8457
[median - no] Iteration 1719. Test_acc 0.8301
[median - no] Iteration 1729. Test_acc 0.7858
[median - no] Iteration 1739. Test_acc 0.8427
[median - no] Iteration 1749. Test_acc 0.8465
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__median__iter_001750.params
[median - no] Iteration 1759. Test_acc 0.8415
[median - no] Iteration 1769. Test_acc 0.8484
[median - no] Iteration 1779. Test_acc 0.8393
[median - no] Iteration 1789. Test_acc 0.8274
[median - no] Iteration 1799. Test_acc 0.8103
[median - no] Iteration 1809. Test_acc 0.8383
[median - no] Iteration 1819. Test_acc 0.8419
[median - no] Iteration 1829. Test_acc 0.8292
[median - no] Iteration 1839. Test_acc 0.8416
[median - no] Iteration 1849. Test_acc 0.8334
[median - no] Iteration 1859. Test_acc 0.8194
[median - no] Iteration 1869. Test_acc 0.8376
[median - no] Iteration 1879. Test_acc 0.8502
[median - no] Iteration 1889. Test_acc 0.7981
[median - no] Iteration 1899. Test_acc 0.8284
[median - no] Iteration 1909. Test_acc 0.8114
[median - no] Iteration 1919. Test_acc 0.8373
