Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__scaling_attack__median.params
Scaling attack: train with labels 7 -> 1 on Byzantine clients; attack success rate = fraction of test images with true label 7 that the global model predicts as 1 (FLTrust).
[median - scaling_attack] Iteration 549. Test_acc 0.6367  Attack_succ_rate 0.0010 (src=7 tgt=1)
[median - scaling_attack] Iteration 559. Test_acc 0.6131  Attack_succ_rate 0.0220 (src=7 tgt=1)
[median - scaling_attack] Iteration 569. Test_acc 0.7036  Attack_succ_rate 0.0010 (src=7 tgt=1)
[median - scaling_attack] Iteration 579. Test_acc 0.6775  Attack_succ_rate 0.0110 (src=7 tgt=1)
[median - scaling_attack] Iteration 589. Test_acc 0.6977  Attack_succ_rate 0.0010 (src=7 tgt=1)
[median - scaling_attack] Iteration 599. Test_acc 0.5411  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 609. Test_acc 0.6324  Attack_succ_rate 0.0020 (src=7 tgt=1)
[median - scaling_attack] Iteration 619. Test_acc 0.6673  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 629. Test_acc 0.5883  Attack_succ_rate 0.0090 (src=7 tgt=1)
[median - scaling_attack] Iteration 639. Test_acc 0.6958  Attack_succ_rate 0.0010 (src=7 tgt=1)
[median - scaling_attack] Iteration 649. Test_acc 0.6443  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 659. Test_acc 0.7112  Attack_succ_rate 0.0090 (src=7 tgt=1)
[median - scaling_attack] Iteration 669. Test_acc 0.7117  Attack_succ_rate 0.0010 (src=7 tgt=1)
[median - scaling_attack] Iteration 679. Test_acc 0.3114  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 689. Test_acc 0.6543  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 699. Test_acc 0.6551  Attack_succ_rate 0.0060 (src=7 tgt=1)
[median - scaling_attack] Iteration 709. Test_acc 0.6659  Attack_succ_rate 0.0020 (src=7 tgt=1)
[median - scaling_attack] Iteration 719. Test_acc 0.7073  Attack_succ_rate 0.0060 (src=7 tgt=1)
[median - scaling_attack] Iteration 729. Test_acc 0.6007  Attack_succ_rate 0.0860 (src=7 tgt=1)
[median - scaling_attack] Iteration 739. Test_acc 0.6902  Attack_succ_rate 0.0040 (src=7 tgt=1)
