Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__no__krum.params
[krum - no] Iteration 1239. Test_acc 0.8092
[krum - no] Iteration 1249. Test_acc 0.8132
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__krum__iter_001250.params
[krum - no] Iteration 1259. Test_acc 0.7786
[krum - no] Iteration 1269. Test_acc 0.8147
[krum - no] Iteration 1279. Test_acc 0.8046
[krum - no] Iteration 1289. Test_acc 0.8099
[krum - no] Iteration 1299. Test_acc 0.8048
[krum - no] Iteration 1309. Test_acc 0.8120
[krum - no] Iteration 1319. Test_acc 0.7903
[krum - no] Iteration 1329. Test_acc 0.7957
[krum - no] Iteration 1339. Test_acc 0.8092
[krum - no] Iteration 1349. Test_acc 0.8075
[krum - no] Iteration 1359. Test_acc 0.8130
[krum - no] Iteration 1369. Test_acc 0.7989
[krum - no] Iteration 1379. Test_acc 0.8082
[krum - no] Iteration 1389. Test_acc 0.8069
[krum - no] Iteration 1399. Test_acc 0.8081
[krum - no] Iteration 1409. Test_acc 0.8090
[krum - no] Iteration 1419. Test_acc 0.8010
[krum - no] Iteration 1429. Test_acc 0.7920
[krum - no] Iteration 1439. Test_acc 0.7810
[krum - no] Iteration 1449. Test_acc 0.8055
[krum - no] Iteration 1459. Test_acc 0.8045
[krum - no] Iteration 1469. Test_acc 0.7994
[krum - no] Iteration 1479. Test_acc 0.8083
[krum - no] Iteration 1489. Test_acc 0.8169
[krum - no] Iteration 1499. Test_acc 0.8045
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__krum__iter_001500.params
[krum - no] Iteration 1509. Test_acc 0.8187
[krum - no] Iteration 1519. Test_acc 0.8128
[krum - no] Iteration 1529. Test_acc 0.8126
[krum - no] Iteration 1539. Test_acc 0.8017
[krum - no] Iteration 1549. Test_acc 0.7935
[krum - no] Iteration 1559. Test_acc 0.8002
[krum - no] Iteration 1569. Test_acc 0.8057
[krum - no] Iteration 1579. Test_acc 0.8241
[krum - no] Iteration 1589. Test_acc 0.8102
[krum - no] Iteration 1599. Test_acc 0.8173
[krum - no] Iteration 1609. Test_acc 0.8114
[krum - no] Iteration 1619. Test_acc 0.7845
[krum - no] Iteration 1629. Test_acc 0.7867
[krum - no] Iteration 1639. Test_acc 0.8156
[krum - no] Iteration 1649. Test_acc 0.7990
[krum - no] Iteration 1659. Test_acc 0.8140
[krum - no] Iteration 1669. Test_acc 0.8176
[krum - no] Iteration 1679. Test_acc 0.8174
[krum - no] Iteration 1689. Test_acc 0.8255
[krum - no] Iteration 1699. Test_acc 0.8161
[krum - no] Iteration 1709. Test_acc 0.8192
[krum - no] Iteration 1719. Test_acc 0.8112
[krum - no] Iteration 1729. Test_acc 0.8113
[krum - no] Iteration 1739. Test_acc 0.8237
[krum - no] Iteration 1749. Test_acc 0.8168
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__krum__iter_001750.params
[krum - no] Iteration 1759. Test_acc 0.8050
[krum - no] Iteration 1769. Test_acc 0.8176
[krum - no] Iteration 1779. Test_acc 0.8269
[krum - no] Iteration 1789. Test_acc 0.8226
[krum - no] Iteration 1799. Test_acc 0.8311
[krum - no] Iteration 1809. Test_acc 0.8157
[krum - no] Iteration 1819. Test_acc 0.8257
[krum - no] Iteration 1829. Test_acc 0.8156
[krum - no] Iteration 1839. Test_acc 0.8284
[krum - no] Iteration 1849. Test_acc 0.8203
[krum - no] Iteration 1859. Test_acc 0.8162
[krum - no] Iteration 1869. Test_acc 0.8175
[krum - no] Iteration 1879. Test_acc 0.8159
[krum - no] Iteration 1889. Test_acc 0.8132
[krum - no] Iteration 1899. Test_acc 0.8178
[krum - no] Iteration 1909. Test_acc 0.8190
[krum - no] Iteration 1919. Test_acc 0.8107
[krum - no] Iteration 1929. Test_acc 0.8203
[krum - no] Iteration 1939. Test_acc 0.8144
[krum - no] Iteration 1949. Test_acc 0.8112
[krum - no] Iteration 1959. Test_acc 0.8159
[krum - no] Iteration 1969. Test_acc 0.8157
[krum - no] Iteration 1979. Test_acc 0.8187
[krum - no] Iteration 1989. Test_acc 0.8203
[krum - no] Iteration 1999. Test_acc 0.8170
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__krum__iter_002000.params
[krum - no] Iteration 2009. Test_acc 0.8204
[krum - no] Iteration 2019. Test_acc 0.8231
[krum - no] Iteration 2029. Test_acc 0.8228
[krum - no] Iteration 2039. Test_acc 0.8219
[krum - no] Iteration 2049. Test_acc 0.8217
[krum - no] Iteration 2059. Test_acc 0.8104
[krum - no] Iteration 2069. Test_acc 0.8226
[krum - no] Iteration 2079. Test_acc 0.8199
[krum - no] Iteration 2089. Test_acc 0.8207
[krum - no] Iteration 2099. Test_acc 0.8261
[krum - no] Iteration 2109. Test_acc 0.8267
[krum - no] Iteration 2119. Test_acc 0.8221
[krum - no] Iteration 2129. Test_acc 0.8202
[krum - no] Iteration 2139. Test_acc 0.8027
[krum - no] Iteration 2149. Test_acc 0.8268
[krum - no] Iteration 2159. Test_acc 0.8207
[krum - no] Iteration 2169. Test_acc 0.8179
[krum - no] Iteration 2179. Test_acc 0.8146
[krum - no] Iteration 2189. Test_acc 0.8191
[krum - no] Iteration 2199. Test_acc 0.8243
[krum - no] Iteration 2209. Test_acc 0.8111
[krum - no] Iteration 2219. Test_acc 0.8209
[krum - no] Iteration 2229. Test_acc 0.8247
[krum - no] Iteration 2239. Test_acc 0.8207
[krum - no] Iteration 2249. Test_acc 0.8178
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__krum__iter_002250.params
[krum - no] Iteration 2259. Test_acc 0.8127
[krum - no] Iteration 2269. Test_acc 0.8181
[krum - no] Iteration 2279. Test_acc 0.8261
[krum - no] Iteration 2289. Test_acc 0.8235
[krum - no] Iteration 2299. Test_acc 0.8263
[krum - no] Iteration 2309. Test_acc 0.8130
[krum - no] Iteration 2319. Test_acc 0.8263
[krum - no] Iteration 2329. Test_acc 0.8240
[krum - no] Iteration 2339. Test_acc 0.8206
[krum - no] Iteration 2349. Test_acc 0.8221
[krum - no] Iteration 2359. Test_acc 0.8214
[krum - no] Iteration 2369. Test_acc 0.8194
[krum - no] Iteration 2379. Test_acc 0.8128
[krum - no] Iteration 2389. Test_acc 0.8231
[krum - no] Iteration 2399. Test_acc 0.8174
[krum - no] Iteration 2409. Test_acc 0.8158
[krum - no] Iteration 2419. Test_acc 0.8295
[krum - no] Iteration 2429. Test_acc 0.8181
[krum - no] Iteration 2439. Test_acc 0.8140
[krum - no] Iteration 2449. Test_acc 0.8253
[krum - no] Iteration 2459. Test_acc 0.8166
[krum - no] Iteration 2469. Test_acc 0.8205
[krum - no] Iteration 2479. Test_acc 0.8302
[krum - no] Iteration 2489. Test_acc 0.8300
[krum - no] Iteration 2499. Test_acc 0.8198
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__krum__iter_002500.params
Checkpoint already complete (iter 2500/2500): checkpoints/flat__pair__every_10pct_of_2500__no__krum__iter_002500.params
Skipping run: final checkpoint exists; not loading datasets/models.
